Epoch,(AP) @[ IoU=0.50:0.95,(AP) @[ IoU=0.50,(AP) @[ IoU=0.75,(AR) @[ IoU=0.50:0.95
0,0.147,0.417,0.052,0.413
1,0.125,0.416,0.029,0.348
2,0.143,0.424,0.055,0.39
3,0.226,0.57,0.108,0.469
4,0.17,0.538,0.031,0.371
5,0.177,0.497,0.049,0.392
6,0.232,0.579,0.137,0.415
7,0.187,0.49,0.062,0.411
8,0.231,0.585,0.13,0.396
9,0.241,0.587,0.125,0.419
10,0.17,0.479,0.028,0.322
11,0.224,0.566,0.115,0.406
12,0.149,0.479,0.044,0.308
13,0.175,0.642,0.022,0.299
14,0.24,0.577,0.14,0.4
15,0.184,0.535,0.049,0.329
16,0.222,0.579,0.122,0.365
17,0.15,0.5,0.019,0.311
18,0.225,0.588,0.139,0.39
19,0.231,0.597,0.11,0.401
20,0.23,0.596,0.105,0.39
21,0.23,0.601,0.124,0.402
22,0.229,0.599,0.127,0.395
23,0.234,0.595,0.122,0.387
24,0.233,0.615,0.125,0.39
25,0.235,0.584,0.128,0.394
26,0.228,0.586,0.123,0.387
27,0.229,0.597,0.116,0.384
28,0.237,0.609,0.137,0.39
29,0.23,0.584,0.105,0.388
30,0.235,0.587,0.124,0.386
31,0.229,0.593,0.114,0.389
32,0.229,0.596,0.119,0.38
33,0.224,0.586,0.116,0.378
34,0.222,0.592,0.12,0.366
35,0.23,0.592,0.136,0.376
36,0.226,0.585,0.096,0.375
37,0.23,0.592,0.107,0.379
38,0.234,0.586,0.12,0.377
39,0.227,0.573,0.113,0.373
40,0.225,0.579,0.094,0.375
41,0.234,0.579,0.144,0.38
42,0.226,0.581,0.122,0.368
43,0.227,0.567,0.111,0.373
44,0.228,0.577,0.102,0.377
45,0.231,0.594,0.138,0.373
46,0.223,0.578,0.105,0.371
47,0.229,0.585,0.121,0.375
48,0.229,0.584,0.115,0.371
49,0.228,0.569,0.101,0.375
50,0.235,0.591,0.167,0.385
51,0.228,0.559,0.117,0.376
52,0.229,0.572,0.11,0.38
53,0.222,0.578,0.102,0.368
