Epoch,(AP) @[ IoU=0.50:0.95,(AP) @[ IoU=0.50,(AP) @[ IoU=0.75,(AR) @[ IoU=0.50:0.95
0,0.172,0.491,0.089,0.47
1,0.216,0.537,0.08,0.463
2,0.23,0.557,0.109,0.458
3,0.258,0.597,0.189,0.446
4,0.178,0.505,0.071,0.392
5,0.246,0.591,0.157,0.454
6,0.212,0.591,0.061,0.41
7,0.223,0.587,0.087,0.378
8,0.201,0.57,0.053,0.402
9,0.184,0.531,0.07,0.398
10,0.169,0.558,0.047,0.342
11,0.148,0.483,0.055,0.356
12,0.254,0.602,0.147,0.424
13,0.153,0.442,0.042,0.34
14,0.195,0.509,0.076,0.326
15,0.19,0.557,0.076,0.35
16,0.242,0.561,0.145,0.398
17,0.145,0.527,0.029,0.295
18,0.162,0.442,0.062,0.337
19,0.199,0.566,0.103,0.367
